id,Y,T,X1,X2,X3,X4
1,-1.608609668,0,1,-1.242383055,1,0.403877203
2,3.647523643,1,0,-0.629392549,1,1.743193734
3,1.187612539,0,0,2.48360876,0,0.401161251
4,0.443819349,0,1,0.191068168,1,0.34220994
5,-0.677517963,0,1,-2.001374604,0,-1.479488624
6,0.607750659,0,0,1.277892727,1,-1.181109292
7,-0.79521369,0,1,-1.329036393,1,-0.096839818
8,1.139087903,0,1,0.118932389,0,-0.682852283
9,-2.586340272,1,0,-0.843360725,0,-0.437475484
10,-1.084755931,0,0,-2.168235007,1,1.311330479
11,-2.186957668,1,0,-1.52870975,0,-1.125280295
12,0.271279704,0,1,-0.46897588,1,-0.571037784
13,1.503345056,0,0,-0.338552487,0,-1.578178047
14,-1.239396855,0,0,-1.644405765,1,0.813147775
15,-0.565546215,0,0,-0.402993955,0,-1.381248421
16,3.563847728,1,1,1.186158457,0,1.109302642
17,3.344675433,1,0,0.011537405,1,0.508676797
18,1.811163692,0,0,0.280784312,1,-0.016333539
19,3.713158451,1,1,-0.414727026,1,0.477479765
20,0.967101794,0,1,0.62617856,0,0.130925597
21,1.147413136,0,1,1.238314365,1,-0.850953919
22,-0.786286459,0,1,-0.663234987,0,-1.312943921
23,-0.157562886,0,1,-1.789347732,1,0.387575543
24,-0.077783098,0,1,-0.124104474,1,0.077003759
25,0.293396097,0,1,-0.880654303,1,0.795550811
26,-0.063812995,0,0,-0.769320672,1,-1.687972217
27,-1.352236532,0,0,-0.561237776,0,-0.403195888
28,-1.422877047,0,0,-1.648603097,1,1.080056699
29,0.093697067,0,0,0.319645588,1,0.78752623
30,-0.206064411,0,1,-0.743702848,1,-0.961318653
31,0.690782504,0,0,-0.829890607,1,-1.0556047
32,3.021138641,1,0,1.074173689,1,-0.421740988
33,3.436310147,1,0,1.127908034,1,0.697178172
34,-0.196374069,0,0,0.751206858,0,0.658344798
35,0.259133191,1,0,-0.752316528,0,-0.501212439
36,-0.095694432,0,0,-0.200780856,1,-0.61866868
37,4.721332178,1,0,0.921985584,1,-0.18657519
38,1.264700506,0,1,0.123179187,0,-1.963198691
39,2.03038408,1,1,-1.64699011,1,0.915852003
40,0.726338768,0,1,0.547752097,0,-0.135293419
41,3.231925411,1,1,-0.918083222,1,0.311364603
42,0.191697899,0,0,-0.978747385,1,1.739068479
43,-0.832216063,0,0,-0.84964249,1,-1.994847059
44,1.680147303,0,0,0.318438949,1,0.589742608
45,2.595688951,1,1,0.038710217,0,0.882895337
46,-0.22675911,0,0,-0.14439947,0,-0.793614898
47,-0.917911463,0,0,-0.667493371,1,1.022152836
48,4.328397129,1,1,-0.681233816,1,1.920105838
49,1.269035605,0,1,0.631601212,1,-2.252041476
50,0.817294446,0,1,0.211903084,1,0.980653406
51,1.928819942,0,0,1.484738197,0,-0.089274726
52,5.522389732,1,1,0.801528413,1,0.112307608
53,-0.145731846,0,1,0.249468139,0,-2.379648901
54,-0.834038829,0,1,-1.394002547,0,0.942753945
55,4.021803385,1,0,0.309668394,1,0.113396012
56,0.444036963,0,0,0.726586728,1,1.230276285
57,0.157552269,0,0,0.879451416,1,1.284643778
58,1.467604483,0,1,-0.555869186,1,1.372483152
59,-0.450067708,0,1,-1.489625468,0,1.44658903
60,2.367273547,1,1,0.212366327,1,1.085325415
61,1.021740881,0,1,-0.798049619,1,-1.469793842
62,1.793366044,1,1,-0.516334287,1,1.154960359
63,1.998264217,0,1,0.381194772,1,-0.308553229
64,-0.210938404,0,1,0.30520764,1,-1.020131368
65,0.494062465,1,1,0.116585504,0,-1.696104131
66,-1.362040993,0,0,-1.513051194,0,0.271250348
67,1.517281209,1,1,1.350717506,1,-1.397245484
68,-2.389911172,0,0,-0.67640652,1,0.873687357
69,-0.067731341,1,0,0.143027285,1,-1.08525288
70,-1.005530433,0,1,-1.051616489,1,1.473838949
71,-1.104840475,0,0,-1.187898604,0,1.031199271
72,-0.94198139,0,1,-0.486444405,0,1.663833567
73,2.49108357,1,1,0.257307894,1,-0.709342475
74,-1.193040272,0,1,-0.735935285,1,-0.80770343
75,0.432053523,0,0,-0.18461849,0,-0.654233333
76,2.289897306,1,1,0.287413624,0,0.691035091
